I am 18+ and consent to take part. I understand anomymised data will be published openly,Which of the following best describes your current work status? ,"Do you use any AI-powered tools or features in your work or daily life?  (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search)? ","How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ",Using AI tools influences my emotional state. ,I sometimes feel emotionally flat or neutral after using AI-powered tools. ,I feel more emotionally drained after long or repeated use of AI tools ,AI tools sometimes give me a sense of relief or support when I feel overloaded. ,My mood can shift quickly during or after using AI tools and chats. ,Using AI-powered tools influences how I see myself and my abilities. ,I sometimes question what is genuinely “mine” versus shaped by suggestions from AI tools. ,AI tools affect how authentic my work or ideas feel. ,I sometimes feel less connected to my real self when I rely heavily on AI tools. ,I worry that regular use of AI systems may blur or weaken parts of my identity. ,AI tools influence how creative I feel. ,I rely on AI tools to spark ideas or creative directions. ,My creative work feels less original when AI tools are involved. ,AI tools help me express ideas more clearly or fluidly. ,AI tools make creative work easier but sometimes less meaningful. ,AI systems influence the way I think internally. ,They affect how deeply I engage with my own thoughts. ,They shape what I focus on or pay attention to. ,They influence how I process problems or decisions. ,AI systems affect my sense of meaning or purpose in some tasks. ,I use AI tools to check whether my thoughts or opinions are correct. ,I use AI tools in ways that reinforce my existing beliefs about a topic. ,I rely on AI tools to help me evaluate or question my thinking. ,I rely on digital tools or AI to validate my thinking rather than explore alternative perspectives.  ,AI tools influence how meaningful certain tasks or activities feel. ,Relying on AI systems can make me feel less connected to my core values. ,"AI systems sometimes affect my sense of authenticity in how I think, work, or express myself ",How have AI tools influenced your emotions or inner experience? ,How have AI tools influenced your creativity or originality? ,What is your age group?,Country of residence,Which of the following best describes your gender?
Yes,Employed full time,Yes,Often,2,2,2,4,1,3,4,5,3,2,3,3,4,6,3,1,1,4,3,1,3,3,3,3,2,1,3,"AI tools help me sort out my thoughts if I'm feeling overwhelmed by a decision. However, I realize that AI is biased so its affirmation does not hold much weight.","AI has helped expand my creativity in more directions. However, I don't use it often to complete tasks since I prefer to leverage my existing knowledge instead.",25 - 34,US,Woman
Yes,Employed full time,Yes,Rarely,2,1,1,5,1,6,7,7,5,6,6,7,5,2,7,2,1,1,1,1,1,1,4,1,6,7,7,They have made me feel like the people around me aren't able to think for themselves anymore. They irritate me as they constantly give incorrect critical information,"They have helped in times of need, to help get the flow going when I'm not able to articulate what it is I'm working on ",25 - 34,Australia,Woman
Yes,Employed full time,Yes,Rarely,4,2,4,4,2,4,2,2,2,1,4,3,2,5,3,1,2,3,4,2,5,5,5,3,3,2,2,"Not really, I use AI to search for answers or deals, nothing significant.","I don't think so.  Do not use AI enough to alter creativity, merely search for answers to any queries I may have.",55 - 65,UK,Woman
Yes,Employed full time,Yes,Everyday,5,3,3,6,5,6,3,2,2,3,2,1,2,7,3,4,3,5,5,4,5,6,4,3,3,2,4,2,2,45 - 54,UK,Man
Yes,Employed part-time,Yes,Occasionally,2,5,4,1,2,1,1,1,1,4,3,1,4,4,5,2,1,2,2,2,2,2,3,1,2,4,2,They haven’t,I don’t think they have,25 - 34,US,Woman
Yes,Not currently working,No,Rarely,1,1,1,1,1,1,1,1,1,7,1,1,7,1,7,1,1,1,1,1,2,1,1,2,1,1,1,AI tools do not influence my emotions in any meaningful way.,AI tools maybe slightly lessen my creativity and originality.,35 - 44,US,Woman
Yes,Employed full time,Yes,Very often,4,3,1,6,2,2,2,2,2,2,5,5,2,6,2,2,2,3,5,1,6,6,6,5,5,2,5,AI tools doesn't influenece my emotions or inner experience asides when I'm able to use the tool to refine my idea. This makes me happy.,"AI tools helps me to refine my creativity or originality by giving me thoughts, ideas or perceptions that I didn't initially think about.",35 - 44,UK,Man
Yes,Other,Yes,Often,5,4,2,7,4,3,2,1,2,2,1,1,1,7,1,1,5,5,6,1,6,3,7,1,1,1,1,"I have used it to help me solve problems before so it is really helpful in emotional regulation. I feel less panicky, less worried, more calm",No. I dont really have any creativity interests right now so theres nothing to influence,25 - 34,Australia,Woman
Yes,Employed full time,No,Rarely,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1,1,2,1,1,1,1,1,1,6,6,4,They haven't,They haven't; I don't use them,45 - 54,UK,Woman
Yes,Student,Yes,Often,5,5,7,6,5,6,6,5,6,5,6,5,6,5,5,6,5,5,6,6,5,6,6,6,5,6,5,"AI tools often make me feel more isolated. For example, rather than calling a friend or colleague for help I easily can just go to AI. It just feels like a sometimes lonely life, talking to a robot.","I don't think AI tools negatively impacts creativity much. In fact, whenever I get good ideas, rather than forgetting about them, AI allows me to store them and build on them. I'm able to get suggestions on how to make my ideas come alive, rather than forget them. Some assistance is beneficial.",18 - 24,Canada,Man
Yes,Employed full time,Yes,Often,4,1,1,5,4,1,1,1,1,1,5,5,3,5,3,1,1,4,5,1,5,5,5,4,1,1,1,They have made me feel less stressed in a stressful document writing situation ,I use AI to see if I can enhance what i have done to make it more professional ,45 - 54,UK,Man
Yes,Employed part-time,Yes,Very often,3,2,5,7,2,2,1,1,1,1,4,5,5,5,2,1,1,1,3,1,1,3,2,2,3,1,5,"my emotions is nit attached to using AI tools, rather my experience has because it helps with my creativity","in a positive way, it helps me bring my thoughts to live by giving me a better approach to things i find hard to put together",25 - 34,UK,Woman
Yes,Not currently working,Yes,Sometimes,4,4,6,1,5,4,6,5,5,7,5,1,5,1,1,4,4,6,4,4,4,3,3,2,4,6,6,they just create fake interactions,probably to some degree,45 - 54,Canada,Prefer not to say
Yes,Employed part-time,Yes,Occasionally,1,1,1,4,1,4,1,5,1,1,4,5,5,5,4,1,1,1,1,1,1,5,4,1,1,1,1,I don't believe AI has influenced my emotions or inner experience. I don't give AI credit for that. I have my own mind.,Pretty much the same answer to this question as the one above,Over 65,US,Woman
Yes,Employed full time,No,Rarely,2,2,2,3,2,3,3,5,3,4,4,2,3,6,6,3,4,3,5,4,2,3,5,4,6,5,5,"I dont think so, only in that they can help me get out of a tough spot if i am unsure on something",only to re-inforce some past beliefs or thoughts,55 - 65,Australia,Man
Yes,Self-employed / freelance,Yes,Often,5,6,7,1,4,1,1,1,5,6,1,1,7,1,5,1,3,5,1,2,1,1,1,1,4,7,4,Using AI too much in my daily life makes me feel like I am lazier in my logical and cognitive thinking. ,I am very careful to keep AI away from any creativity because it does not belong in the arts. ,25 - 34,Canada,Woman
Yes,Employed part-time,Yes,Very often,6,3,5,7,6,6,1,1,1,1,5,6,3,6,3,6,7,6,6,5,5,6,6,4,5,2,2,"AI tools gently supported me when I was feeling down, worried, or in need of a solution, which helped me to further increase my self-acceptance and had a positive effect on lifting my spirits.","I have had the experience of receiving advice from AI tools on my creativity, sharing my thoughts on them, and working together to create something that I was satisfied with. I often add my own ideas rather than relying solely on the AI ​​tool's judgment, so the AI ​​tools are like consultants that give me good feedback.",35 - 44,US,Woman
Yes,Employed full time,Yes,Occasionally,1,5,1,1,1,1,1,1,1,1,2,3,5,4,6,1,1,1,1,1,3,2,3,2,4,1,2,I haven't noticed an effect on my emotions. It's simply a useful tool,"It's easy to rely on easy-to-use tools as a crutch, and reach for simple solutions rather than do the hard work myself.",35 - 44,US,Man
Yes,Employed full time,Yes,Very often,2,2,1,3,1,1,3,3,3,2,3,4,3,5,5,3,2,2,2,3,4,3,5,4,3,3,3,I did not notice any differences compared to when I was not using AI tools ,AI tools have enhanced my creativity ,Over 65,US,Man
Yes,Other,No,Rarely,2,4,4,4,4,4,6,7,4,5,6,5,6,4,6,4,3,6,6,4,7,5,6,4,5,5,6,Sometimes they make me question my motivations or feelings about a topic,They make me lazy. Stop me using my own imagination sometimes,55 - 65,UK,Woman
Yes,Not currently working,Yes,Often,1,1,1,3,2,5,3,4,2,1,2,3,2,1,1,1,1,2,4,1,3,2,3,1,1,1,1,"I do not believe that AI tools have influenced my emotions or inner experience. They are simply a useful, information finding tool","I do not believe that AI tools have influenced my creativity or inner originality. They are simply a useful, fact checking tool",55 - 65,UK,Woman
Yes,Employed full time,No,Rarely,2,3,2,2,1,3,5,6,6,3,3,2,6,2,6,2,2,2,3,2,2,1,1,2,6,6,5,I dislike using them as they suck the feeling of creativity,It makes me question the value of real art in a negative fashion,45 - 54,New Zealand,Man
Yes,Not currently working,Yes,Often,1,1,1,7,2,1,1,1,1,1,2,6,2,7,2,1,1,1,2,1,5,5,4,2,1,1,1,"They have helped clarify things for me which makes me more confident and relaxed in my opinions. Even if i get a different answer to what i was expecting, AI informs me of facts and this helps me feel in control when dealing with situations.","It helps grow my creativity, its like having someone to bounce ideas off and adds advice and support to ideas i have. ",35 - 44,UK,Woman
Yes,Not currently working,No,Sometimes,2,1,2,2,1,2,1,2,1,1,3,4,3,4,4,2,1,3,2,1,3,2,2,2,1,1,1,They haven't,It has provided ideas as a starting point,55 - 65,UK,Woman
Yes,Self-employed / freelance,Yes,Everyday,4,4,1,7,3,4,4,3,2,2,4,5,2,7,4,4,2,4,5,4,5,4,5,4,2,2,2,They haven't. They just make research and brainstorming easier. They shorted the amount of time it would have otherwise taken me from idea to finished product.,"They haven't affected my originality, but they have allowed me to me more prolific with my creativity. They shorted the time that it takes me to go from idea to finished product.",45 - 54,US,Woman
Yes,Not currently working,Yes,Occasionally,6,5,3,2,5,5,3,6,2,5,6,6,6,5,6,5,4,3,5,3,6,5,5,4,5,3,5,They make me more confident in my decisions. ,Its made me lazy ,35 - 44,UK,Woman
Yes,Other,Yes,Sometimes,1,6,1,4,2,3,2,3,4,1,4,5,5,6,3,5,3,6,7,3,6,5,7,5,4,2,4,They don't really have any effect on my emotions other than mild positivity in proving support,I'm not a particularly creative person by nature so AI tools are useful in this respect to support a task,Over 65,UK,Man
Yes,Employed full time,Yes,Everyday,1,1,1,2,2,1,1,2,1,1,4,6,6,7,2,1,1,1,4,1,7,7,7,1,1,1,1,"hasnt really influenced my emotions or inner exeperiece, I tend to use it to clarify my thinking around work processes",It helps prepare my work in a more creative and easier to understand for others to read than I would have thought to do so myself,35 - 44,New Zealand,Woman
Yes,Employed full time,Yes,Occasionally,4,5,7,1,7,4,5,5,4,2,5,3,6,3,7,5,4,4,2,6,5,5,6,5,5,6,5,They make feel anxious when they make mistakes in their output,I have become lazy lately when brainstorming ideas because i can just ask AI to do it for me,25 - 34,Canada,Man
Yes,Employed full time,Yes,Often,5,1,1,6,4,5,1,2,1,1,7,5,2,7,2,3,3,4,4,2,6,5,7,4,3,2,4,It has made me more confident and self assured.,It helps me go more in depth on certain details because it immediate provides feedback or suggestions to all of my thoughts and insights.,25 - 34,US,Man
Yes,Employed full time,Yes,Often,4,4,4,5,5,3,4,3,2,2,4,3,3,5,4,3,2,4,4,2,3,2,3,3,5,2,3,"To be honest, AI hasn’t had a big emotional impact on me. If anything, it sometimes makes things feel a bit easier or clearer when I’m trying to sort through information. ","I has helped me occasionally when I’m trying to find a starting point or look at something from a different angle, but I still feel that most of the ideas are my own. ",45 - 54,UK,Man
Yes,Employed full time,Yes,Occasionally,4,1,1,4,1,1,1,1,1,1,4,4,4,4,1,1,1,1,3,1,3,1,2,1,1,1,1,they can have a positive effect on my creative proccesses,yes sometimes,Over 65,UK,Man
Yes,Employed full time,Yes,Everyday,1,1,1,3,1,2,1,6,4,7,2,3,3,4,4,2,1,1,1,1,1,4,4,1,1,1,3,They don’t ,It assists with bringing ideas to life ,45 - 54,US,Man
Yes,Employed part-time,Yes,Sometimes,3,5,2,3,4,3,2,1,2,4,3,3,5,3,7,2,2,3,3,3,5,6,3,3,5,5,4,AI has allowed me to quickly reference or explore any thought or idea that comes into my head.,Well I play music so I have great concerns about AI affecting creativity in the music industry. I plan on not using AI for any of my music now or ever.,55 - 65,US,Man
Yes,Self-employed / freelance,Yes,Often,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,3,1,2,1,1,They haven't really... It's just a tool,They have helped to focus some of my ideas,45 - 54,Ireland,Man
Yes,Other,Yes,Occasionally,5,2,2,6,5,5,3,2,2,2,3,5,2,5,4,5,5,5,6,4,4,5,5,5,4,3,3,I get a sense if approval i dont get in real life . ,Its nice to have a supportive situation ,55 - 65,UK,Woman
Yes,Employed full time,Yes,Very often,2,1,1,5,2,2,3,3,1,1,3,4,5,4,3,2,1,4,3,2,5,4,3,3,2,1,1,Sometimes they remind me to look at different points of views.,I disregard my ideas if the AI doesn’t agree with them.,35 - 44,UK,Man
Yes,Employed full time,Yes,Often,2,5,6,3,3,1,6,6,7,7,3,2,7,5,7,1,2,5,5,3,2,4,2,5,2,6,6,"They make me feel cheap if I rely on them, like it’s cheating",They can help sometimes but I don’t like to rely on them as it feels inauthentic ,35 - 44,UK,Man
Yes,Employed part-time,Yes,Often,6,5,7,6,4,7,5,6,7,6,7,5,7,6,6,5,6,7,5,6,7,5,6,6,5,6,7,Helped me understand more about things,It has made me more creative,45 - 54,US,Man
Yes,Employed full time,Yes,Everyday,5,2,2,6,5,5,3,5,3,5,5,6,6,6,5,3,2,2,6,5,6,5,5,4,5,4,4,They make me feel more content and reassured. ,I have less original and creative ideas due to being more reliant on ai tools. ,35 - 44,UK,Woman
Yes,Employed part-time,Yes,Sometimes,4,1,1,4,2,2,1,2,1,3,1,4,2,5,3,2,2,4,4,2,5,3,4,3,3,2,2,Sometimes the statements from AI tools make me feel slightly better when having a really bad day ,They have helped me be more creative following the advice given ,55 - 65,UK,Woman
Yes,Not currently working,Yes,Often,5,1,1,7,5,6,1,6,1,5,5,7,1,6,6,1,5,5,5,1,4,1,5,1,4,1,4,It validates my feelings at the time,I will use it for most things so I think it extends my originality,35 - 44,UK,Woman
Yes,Not currently working,Yes,Occasionally,2,2,2,4,2,4,3,3,3,3,3,4,4,4,4,2,3,3,3,3,3,1,3,3,3,3,3,The blur of me vs AI can make my thoughts not mine.,They help to carry me further into the creative process.,Over 65,US,Woman
Yes,Other,Yes,Often,1,1,1,3,1,1,1,1,1,1,1,2,1,4,1,1,1,1,1,1,4,1,3,1,1,1,1,I sometimes use it to go through my emotions and experiences because I feel alone. It helps me think about other people going through similar things. It's kind of like having a free therapist. ,They help me brain storm and strengthen my ideas ,25 - 34,US,Woman
Yes,Employed full time,Yes,Sometimes,3,3,2,5,4,3,2,6,3,2,4,6,2,6,5,2,2,3,5,2,4,5,4,3,3,2,2,I wouldn’t say influenced but it feels good when Al helps you over a stumbling block ,Al is good when your struggling to be creative ,45 - 54,UK,Man
Yes,Not currently working,No,Rarely,1,4,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1,1,1,Not at all,My use of AI tools provides a starting point,Over 65,UK,Man
Yes,Employed full time,Yes,Everyday,6,2,5,6,5,7,5,6,1,1,5,5,2,7,3,6,2,5,5,5,6,5,5,5,5,3,3,Maybe. I'm noy sure. I just use it.,For writing is perfect to me. Lot's of creativity.,Over 65,US,Man
Yes,Employed part-time,Yes,Occasionally,1,2,1,4,1,1,1,1,1,1,1,1,4,3,2,1,1,1,3,1,1,1,1,1,3,3,2,"Not heavily, i try not to use AI tools for any emotionally charged or internal processing purposes. Though they have helped relieve stress when struggling to format for work emails ","Not much at all, if using ai for something creative i would only use it as a sounding board ",25 - 34,Australia,Woman
Yes,Employed part-time,Yes,Often,2,6,1,4,2,5,2,5,1,2,2,6,6,5,6,6,4,4,6,5,6,6,6,2,3,2,3,Sometimes alAI tools help me to relieve.,AI tools brush my idea and creativity up.,35 - 44,UK,Woman
Yes,Employed full time,Yes,Sometimes,2,2,1,5,4,3,3,2,1,3,2,3,2,5,5,2,5,3,3,3,2,2,2,2,3,3,5,"AI haven't really changed much for me emotionally, but they sometimes make certain tasks feel a bit easier or less stressful.","AI doesn't drive my creativity, but they occasionally give me quick ideas when I'm stuck.",25 - 34,Canada,Woman
Yes,Employed part-time,Yes,Occasionally,3,2,3,2,2,2,2,3,2,2,2,3,4,7,2,1,2,2,3,2,3,2,2,1,4,1,2,They give me reasurance and guidance ,They can give me ideas that i have not thought of yet,35 - 44,UK,Woman
Yes,Employed full time,Yes,Often,3,5,2,5,3,6,5,6,4,5,4,5,6,6,5,3,3,3,5,5,6,6,5,4,6,5,5,"AI has not inluenced me much emotionally, while it has led to me doubt about my skills.",AI has helped me generate ideas and be more creative. It has also helped me become origin in my ideas.,18 - 24,Canada,Man
Yes,Self-employed / freelance,No,Rarely,1,1,1,4,2,1,1,6,6,5,4,1,6,4,6,1,1,1,1,1,1,1,2,1,1,1,3,"They haven’t, i tend to use ai to answer a question over using it for creativity ",No,25 - 34,UK,Woman
Yes,Employed part-time,Yes,Sometimes,1,1,1,5,1,2,1,5,1,2,5,7,6,6,6,1,1,1,1,3,6,7,5,6,4,1,1,they help build confidence as they confirm my thinking,lessened it to some extent but i'm not a really creative person anyway,45 - 54,Australia,Woman
Yes,Employed full time,Yes,Often,5,2,3,6,6,4,7,6,2,5,6,7,3,6,5,4,6,3,7,6,6,6,4,4,5,3,5,It helps me make decisions when I’m on the fence about things. It also gives an unbiased view on certain topics. It helps me regulate my emotions also and keep me less stressed with work related topics ,Made me less creative because I rely on ai tools all the time now to create ideas for me,25 - 34,UK,Man
Yes,Employed full time,Yes,Very often,1,7,1,5,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,no,no,25 - 34,US,Man
Yes,Employed full time,Yes,Often,2,6,3,5,2,5,5,6,4,1,3,3,5,6,5,1,2,4,5,3,1,4,3,4,2,1,3,Ai is a tool that I have no feelings for,Ai helps enhance my original idea,55 - 65,UK,Man
Yes,Self-employed / freelance,Yes,Occasionally,1,7,2,2,1,4,2,7,5,7,7,4,7,4,7,1,1,1,1,4,1,5,5,4,7,7,7,I think they give me a new avenue to explore potential ideas which can shift my emotion for that idea one way or the other but it hasn't changed who I am as a person.,AI is a double-edged sword in this regard. Overly relying on it can cause a dependence on it for 'new' ideas which were stolen from other people. I only use it to give me potential ideas as a starting point and then refresh it with my own experiences.,25 - 34,US,Man
Yes,Employed full time,Yes,Often,2,1,1,5,5,6,6,6,2,1,7,7,1,7,6,2,6,2,5,5,6,6,6,6,7,2,5,"I'd say it helps ""checking"" my thinking and whether my emotions are valid or if I should be thinking differently. If that's the case, then I would typically try to step back and reflect on it. I also feel, that in some situations, it helps me to ""know"" how I should be feeling.","I usually types a few ideas and let the AI expands, so it mostly gives me ideas I wouldn't have thought about. I would say it helped improved my creativity as I've new suggestions to think and develop on my own, but it also feels less authentic because it doesn't fully come from me (compared to before AI).",25 - 34,Canada,Man
Yes,Employed part-time,Yes,Very often,3,4,3,6,4,5,4,5,4,5,5,3,5,3,5,3,6,4,3,5,6,4,4,3,5,3,4,AI tools influence my emotions and inner experience by reassuring my emotions and comforting me when I am in distress.,AI tools influenced my creativity and originality by inspiring me to see new ideas and concepts.,25 - 34,US,Man
Yes,Self-employed / freelance,Yes,Often,3,4,3,6,4,4,5,6,3,6,6,4,5,4,5,2,4,5,4,2,4,5,4,5,3,4,3,They've offered me a different perspective than what I may have been thinking about a certain issue.,They have given me the push that I've needed to be creative sometimes or help get me started,25 - 34,Canada,Woman
Yes,Employed full time,Yes,Often,2,2,4,5,4,4,3,6,5,6,4,3,6,4,6,4,5,3,5,5,3,3,4,3,6,6,6,Using AI tools makes me feel lazy at times.,"Too much reliance on these tools long term will make me feel less creative and possibly lose the ability of original thoughts, which is really bad. ",25 - 34,New Zealand,Woman
Yes,Employed full time,Yes,Sometimes,5,6,1,4,5,6,4,4,4,5,3,1,7,4,5,7,6,6,6,4,1,1,4,5,4,6,2,just agreed with whatever i say,gives me new idea,18 - 24,UK,Woman
Yes,Employed full time,Yes,Everyday,2,2,1,5,6,4,2,5,2,3,5,4,5,4,5,4,5,5,3,5,4,5,4,5,4,6,6,It's helped regulate them sometimes I may get angry or emotional and then I explain the situation to ChatGPT and it helps me calm down and see things from other angles,I think it's made me more creative because I sometimes give it my own ideas and then it helps expand on them,18 - 24,UK,Man
Yes,Employed full time,Yes,Very often,6,7,2,7,6,6,5,7,3,1,7,6,2,7,5,7,6,6,7,5,7,7,6,7,6,2,6,"When I put unclear thoughts into AI tools, they expand on my ideas and bring clarity, revealing thoughts that were already silently within me","Well, It acts like a brainstorming buddy. It unblocks my mind and helps me find the words for the original ideas that were already stuck in there.",45 - 54,US,Man
Yes,Employed part-time,Yes,Everyday,3,2,2,4,2,3,3,3,3,2,5,4,5,6,5,4,4,5,5,5,6,6,5,3,5,3,5,"AI tools make me feel more curious and inspired. They help me learn new things quickly and make my work easier, which reduces stress. Sometimes, they also make me think about how technology connects humans and machines emotionally.","AI tools help me get new ideas and think in different ways. They make it easier to create, but I still need my own imagination to make things truly original.",35 - 44,Australia,Man
Yes,Employed full time,No,Sometimes,1,4,1,4,1,1,1,2,1,4,1,1,5,5,7,1,1,1,1,1,1,1,4,1,1,1,4,"They don't really influence my emotions, unless I see someone generating 'art' using these tools.","I would say when it comes to writing some emails, I have relied on it correcting my grammar or suggesting more professional words/formats to use.",25 - 34,US,Woman
Yes,Employed full time,Yes,Often,3,1,1,7,1,1,1,1,1,1,5,6,1,7,1,5,1,3,3,4,6,6,5,6,1,1,1,It makes me happier because I can use it to support with my workload ,It helps me to be more creative by giving me ideas for a starting point ,25 - 34,UK,Woman
Yes,Employed full time,Yes,Everyday,4,4,4,4,4,4,5,4,4,5,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,very well,very well,45 - 54,US,Man
Yes,Not currently working,Yes,Sometimes,1,5,3,1,2,3,5,6,3,5,5,3,6,5,5,1,1,2,4,5,5,5,5,4,5,2,5,I don't really think that they have.,"Sometimes after using them, I wonder if on my own I could have achieved a similar result. But I still use them as they make work faster and if I am being honest they do improve the ideas I come up with and sometimes create ideas that are better than mine.",35 - 44,US,Man
Yes,Self-employed / freelance,Yes,Sometimes,2,2,2,5,1,3,5,6,6,5,6,5,6,6,6,5,5,5,5,6,3,2,3,2,6,6,7,"I don't feel like AI tools have influenced my emotions very much so far. I do think they may influence how I think about things. I may be less likely to analyze problems on my own, like I used to, and that does concern me a bit. I don't want to lose my critical thinking skills.","On the one hand, I like that AI tools can help me brainstorm new ideas and refine existing ideas. Sometimes, that can help spark my creativity and that is exciting. But, on the other hand, relying on them too much makes me wonder if I'm actually using my ideas or following and AI's ideas. I am concerned about losing my creativity over time as well.",35 - 44,US,Woman
Yes,Employed part-time,Yes,Often,4,5,3,4,4,5,5,3,2,2,3,3,2,4,2,3,4,3,4,4,4,5,4,4,5,4,4,increased my confidence,added up to my ideas and creativity,25 - 34,UK,Woman
Yes,Employed full time,Yes,Often,4,5,2,4,2,4,2,2,5,2,2,2,2,5,4,2,2,3,5,2,5,6,5,3,2,2,3,I am not emotionally attached to AI and my inner experience is not really affected.  It is my ideas that are truly original not the AI's,They can help generate pictures.  I am not a good artist.,45 - 54,US,Man
Yes,Not currently working,Yes,Everyday,6,2,2,6,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,4,1,5,1,1,1,"I use AI mostly for information and research, and that has the same effect as finding some intriguing or resonating fact or understanding of a topic that I was unaware of in the same way learning things from a book or researching on the web would have. Information can be very affirming or affect me in certain ways if I feel a deep connection to the topic or subject I learn/read about.","No, AI hasn't influenced my creativity, in no other way than the effect of researching a topic by any other means would. And I don't use AI to create things, like images or videos or stories because I feel that would be uncreative and stifle any artistic ability I may have.",35 - 44,US,Man
Yes,Employed full time,Yes,Occasionally,2,1,1,6,4,3,5,5,2,1,6,5,7,6,7,2,1,4,3,2,5,1,4,2,3,1,1,"I don't think they really have, to be honest. AI is just a tool like any other",I use them as either a starting point for work (I.e. to generate ideas) or for improving and streamlining my work,45 - 54,UK,Man
Yes,Employed full time,Yes,Sometimes,1,1,1,3,1,3,1,1,2,1,2,5,3,4,2,3,5,6,6,2,6,6,5,3,4,4,6,AI helps me think deeper about what things are going on in my mind.  They make jefe a bit easier answering questions. ,"Using AI allows me to rethink the way I right things down,  reconstructing sentences.  ",Over 65,UK,Woman
Yes,Not currently working,Yes,Everyday,5,3,2,7,5,6,3,4,2,2,5,6,2,7,4,4,2,4,6,5,5,5,7,3,5,2,4,They help me to gather my thoughts when things feel overwhelming which has the effect of calming me down and making me more able to handle certain situations which makes my life easier ,It helps me to expand on my own ideas and concepts and to consider alternative or varying paths in which my ideas can further develop. ,35 - 44,UK,Woman
Yes,Employed full time,Yes,Everyday,7,2,2,7,7,7,1,3,1,1,7,6,2,7,2,7,7,7,7,5,7,2,5,2,7,1,1,"They have helped to put conflicts into perspective and to support my mental health when I feel low. It works as a sense check, if you like and stops my thoughts from 'spiraling' and it is also good at supporting my instincts but also giving me alternative points of view. It has also been helpful in valuing my inner world and describing my introvert tendancies in a positive wayll ",I had a long and tedious project and I used it to create visual metaphors and illustrate characters I created. It was also good at turning jokes or incidents into fun visuals. It also provided a lot of inspiration. ,45 - 54,UK,Woman
Yes,Student,Yes,Sometimes,2,2,2,3,3,5,2,5,5,7,6,6,6,7,7,5,6,6,3,3,2,5,6,5,7,5,6,After prolonged use of AI tools it can make me doubt my own abilities as they are able to provide much better results. It makes me question whether I will ever be able to do this on my own.,They have made me stop leaning into my ideas and just blurt some raw idea out to chat gpt and get it to refine it.,18 - 24,New Zealand,Woman
Yes,Employed part-time,Yes,Sometimes,1,1,1,5,1,1,1,4,1,1,4,1,5,5,4,1,1,1,3,1,7,4,4,1,4,1,1,They haven't,Sometimes offer a suggestion I had not thought of before,45 - 54,Australia,Woman
Yes,Employed full time,Yes,Sometimes,2,1,2,1,1,2,1,1,2,1,6,5,5,3,2,2,4,4,5,4,6,2,5,2,4,2,4,I use them for facts and fun so this just has a positive effect on my emotions,makes me come up with creative ideas,45 - 54,UK,Man
Yes,Not currently working,Yes,Sometimes,1,1,1,2,1,2,1,5,2,1,6,3,5,6,2,1,1,1,1,1,6,5,2,4,2,2,2,They help increase creativity,Helps my ideas come into focus more clearly,55 - 65,US,Woman
Yes,Other,Yes,Everyday,3,2,2,6,4,3,3,4,2,2,5,5,4,7,4,3,2,6,5,3,7,4,6,2,5,2,2,I don’t really use AI in this way but I suppose sometimes I have used AI to find the answer to something or to help me fix something so I guess they have reduced my stress levels or frustration at times .,When I have been stuck I have asked AI for ideas and what the AI has suggested has helped me to focus and formulate written communication in a manner better than I would have on my own . I think AI has actually allowed me to become a bit more lazy and less creative as it sometimes does the thinking for me .,45 - 54,UK,Woman
Yes,Employed full time,Yes,Everyday,5,4,5,5,6,6,4,5,6,6,7,7,3,6,5,5,5,6,5,5,5,4,6,6,5,6,5,They are so advanced in some aspects it makes me doubt my own abilities,They encourage me to support my ideas and trigger ways to come up with new ways of thinking,25 - 34,New Zealand,Man
Yes,Employed part-time,Yes,Everyday,1,1,1,2,1,5,2,5,2,3,5,7,2,5,2,1,1,1,3,3,3,3,3,3,3,1,3,emotions in that if designing something happy that it comes up with something i like so the emotions are good,good at designing my house but i have the initial idea ,55 - 65,UK,Woman
Yes,Employed full time,Yes,Everyday,6,2,2,5,5,4,4,5,3,2,6,5,3,6,4,6,6,6,5,5,7,7,6,5,4,2,3,"I occasionally chat with conversational AI chatbots such as Replika for relaxation and as an avocational tech type interest. All of these past interactions have influenced my emotions and inner feelings, i.e. acceptance of AI.","I use AI tools almost daily for search, assistance and checking data, business correspondence, etc. I also us AI assistance for organizational features in my own private home life. Everything from art, creative photo generation, to the other end of spectrum, i.e. grocery list ideas and smart shopping advice.",Over 65,US,Man
Yes,Self-employed / freelance,Yes,Often,3,2,2,5,3,5,3,3,2,2,4,6,2,6,3,5,4,5,5,5,6,5,5,6,3,2,2,"it can positively effect my mood if i feel productive while using it, generally nothing negative is experienced for the most part.","it can give me ideas that can aid me in tasks that i might have never considered, if i'm not coming up with ideas the ai can be helpful.",35 - 44,US,Man
